lead_id,company,industry,source,budget,engagement_score,status,created_date,salesperson
LEAD-00001,Omni Logistics,Media & Entertainment,Partner Channel,5000.0,28.4,Contacted,2025-09-23,Emily Watson
LEAD-00002,Aura Health,Manufacturing & Industrial,Partner Channel,5000.0,68.5,Lost,2026-02-03,David Kim
LEAD-00003,Hyperion Global,Retail & E-Commerce,Partner Channel,5000.0,26.7,Contacted,2026-03-08,Sarah Jenkins
LEAD-00004,Vanguard Logistics,Manufacturing & Industrial,Inbound Demo Request,35000.0,79.3,Qualified,2026-03-09,Michael Chang
LEAD-00005,Hyperion Health,Professional Services & Consulting,Inbound Demo Request,35000.0,83.5,Won,2026-02-11,Michael Chang
LEAD-00006,Velocity Technologies,SaaS & Cloud Software,Organic Search,12000.0,20.5,New,2026-03-19,Priya Patel
LEAD-00007,Prism Innovations,Manufacturing & Industrial,Referral,60000.0,66.3,Proposal Sent,2026-06-25,Michael Chang
LEAD-00008,Hyperion Solutions,Retail & E-Commerce,Inbound Demo Request,15000.0,79.1,Qualified,2025-12-26,Priya Patel
LEAD-00009,Vanguard Partners,Financial Services & FinTech,Inbound Demo Request,15000.0,85.3,Negotiation,2026-01-13,Emily Watson
LEAD-00010,CoreTech Global,Professional Services & Consulting,Referral,60000.0,77.2,Proposal Sent,2026-06-15,David Kim
LEAD-00011,Cognitive Health,Retail & E-Commerce,Referral,60000.0,66.5,Proposal Sent,2026-06-03,Alex Rivera
LEAD-00012,Beacon Logistics,Retail & E-Commerce,Referral,60000.0,66.2,Won,2026-08-20,Alex Rivera
LEAD-00013,Cognitive Capital,Financial Services & FinTech,LinkedIn Campaign,8000.0,65.2,Contacted,2026-08-04,David Kim
LEAD-00014,Meridian Partners,Manufacturing & Industrial,Webinar,8000.0,49.7,Qualified,2025-10-21,Alex Rivera
LEAD-00015,Beacon Dynamics,Financial Services & FinTech,Referral,15000.0,85.2,Negotiation,2026-07-08,Sarah Jenkins
LEAD-00016,Vanguard Logistics,Professional Services & Consulting,Partner Channel,5000.0,41.7,Lost,2026-05-12,David Kim
LEAD-00017,Omni Analytics,Healthcare & Life Sciences,Partner Channel,5000.0,61.2,Contacted,2026-08-30,Sarah Jenkins
LEAD-00018,Aegis Innovations,Financial Services & FinTech,Organic Search,5000.0,75.9,Contacted,2026-08-25,Priya Patel
LEAD-00019,Synapse Solutions,Manufacturing & Industrial,LinkedIn Campaign,8000.0,40.2,Won,2025-09-19,Priya Patel
LEAD-00020,Hyperion Systems,SaaS & Cloud Software,Partner Channel,5000.0,45.7,Lost,2025-12-14,Sarah Jenkins
LEAD-00021,Starlight Logistics,Media & Entertainment,Webinar,20000.0,56.1,Contacted,2026-08-23,Priya Patel
LEAD-00022,Beacon Technologies,Media & Entertainment,LinkedIn Campaign,20000.0,47.5,Contacted,2026-04-18,Sarah Jenkins
LEAD-00023,Hyperion Enterprises,Healthcare & Life Sciences,Referral,35000.0,93.3,Negotiation,2026-01-03,Michael Chang
LEAD-00024,Omni Solutions,Professional Services & Consulting,LinkedIn Campaign,8000.0,36.3,Lost,2026-06-22,David Kim
LEAD-00025,Aura Dynamics,SaaS & Cloud Software,Cold Outreach,12000.0,64.7,New,2026-05-14,Emily Watson
LEAD-00026,Hyperion Analytics,Retail & E-Commerce,Partner Channel,5000.0,47.1,New,2025-12-21,Priya Patel
LEAD-00027,Elevate Enterprises,SaaS & Cloud Software,Cold Outreach,12000.0,32.5,Contacted,2025-11-15,Sarah Jenkins
LEAD-00028,Zenith Capital,Healthcare & Life Sciences,LinkedIn Campaign,45000.0,33.0,Contacted,2026-03-10,Emily Watson
LEAD-00029,Synapse Labs,Manufacturing & Industrial,Cold Outreach,25000.0,46.6,New,2026-04-03,Priya Patel
