transaction_id,customer_id,product_id,quantity,amount,transaction_date
TXN-000001,CUST-00001,PROD-001,2,98.0,2023-07-26
TXN-000002,CUST-00001,PROD-001,1,49.0,2024-05-23
TXN-000003,CUST-00001,PROD-007,1,399.0,2025-02-14
TXN-000004,CUST-00001,PROD-010,1,199.0,2025-11-08
TXN-000005,CUST-00001,PROD-006,1,299.0,2025-11-21
TXN-000006,CUST-00001,PROD-020,3,1852.5,2025-12-08
TXN-000007,CUST-00001,PROD-007,3,1137.15,2026-03-08
TXN-000008,CUST-00002,PROD-009,1,250.0,2025-06-01
TXN-000009,CUST-00002,PROD-003,1,1200.0,2025-12-13
TXN-000010,CUST-00003,PROD-009,1,250.0,2024-08-30
TXN-000011,CUST-00003,PROD-010,1,199.0,2025-01-04
TXN-000012,CUST-00004,PROD-021,1,1800.0,2026-06-14
TXN-000013,CUST-00004,PROD-009,2,500.0,2026-07-05
TXN-000014,CUST-00005,PROD-004,5,22800.0,2024-03-14
TXN-000015,CUST-00005,PROD-014,2,12000.0,2024-06-16
TXN-000016,CUST-00005,PROD-003,5,5700.0,2024-07-19
TXN-000017,CUST-00005,PROD-018,1,5000.0,2025-01-07
TXN-000018,CUST-00005,PROD-005,5,59375.0,2025-02-10
TXN-000019,CUST-00005,PROD-004,2,9600.0,2025-04-13
TXN-000020,CUST-00005,PROD-008,3,997.5,2025-12-04
TXN-000021,CUST-00005,PROD-017,2,16000.0,2025-12-24
TXN-000022,CUST-00005,PROD-002,1,149.0,2026-01-15
TXN-000023,CUST-00005,PROD-005,10,118750.0,2026-06-01
TXN-000024,CUST-00005,PROD-010,1,199.0,2026-07-02
TXN-000025,CUST-00005,PROD-006,1,299.0,2026-07-09
TXN-000026,CUST-00006,PROD-018,1,5000.0,2024-12-09
TXN-000027,CUST-00006,PROD-022,1,1200.0,2024-12-21
TXN-000028,CUST-00006,PROD-028,2,2200.0,2024-12-29
TXN-000029,CUST-00006,PROD-008,1,350.0,2025-01-01
TXN-000030,CUST-00006,PROD-003,1,1200.0,2025-03-10
TXN-000031,CUST-00006,PROD-004,1,4800.0,2025-04-16
TXN-000032,CUST-00006,PROD-005,1,12500.0,2025-04-23
TXN-000033,CUST-00006,PROD-015,1,4500.0,2025-07-12
TXN-000034,CUST-00006,PROD-003,1,1200.0,2025-08-25
